Zip Code,Number of returns,Amount,Average Income
00000,"2,896,570","184,823,250",63807.62
85003,"3,900","290,006",74360.51
85004,"2,960","232,765",78636.82
85006,"9,680","352,359",36400.72
85007,"5,300","278,695",52583.96
85008,"23,140","797,391",34459.42
85009,"15,940","443,128",27799.75
85012,"3,800","407,578",107257.37
85013,"9,800","707,257",72169.08
85014,"12,160","765,897",62984.95
85015,"15,590","545,591",34996.22
85016,"17,560","1,677,786",95545.90
85017,"14,110","376,062",26652.16
85018,"17,200","2,507,921",145809.36
85019,"10,240","311,612",30430.86
85020,"15,970","1,162,716",72806.26
85021,"16,180","1,031,283",63738.13
85022,"23,110","1,416,256",61283.25
85023,"15,340","907,859",59182.46
85024,"12,050","774,926",64309.21
85027,"17,710","872,651",49274.48
85028,"10,090","1,062,222",105274.73
85029,"19,460","784,961",40337.15
85031,"11,560","322,550",27902.25
85032,"30,860","1,646,489",53353.50
85033,"21,280","615,610",28929.04
85034,"2,090","81,778",39128.23
85035,"19,510","549,251",28152.28
85037,"19,830","708,537",35730.56
85040,"11,580","362,724",31323.32
85041,"24,170","923,249",38198.14
85042,"18,060","850,795",47109.36
85043,"12,720","482,662",37945.13
85044,"19,910","1,572,396",78975.19
85045,"3,330","407,820",122468.47
85048,"16,170","1,717,586",106220.53
85050,"13,920","1,404,331",100885.85
85051,"18,110","633,245",34966.59
85053,"13,590","602,778",44354.53
85054,"3,640","335,775",92245.88
85083,"7,980","811,272",101663.16
85085,"10,650","977,393",91773.99
85086,"17,160","1,517,264",88418.65
85087,"3,880","304,877",78576.55
85118,"5,300","459,022",86607.92
85119,"8,160","422,299",51752.33
85120,"10,810","419,037",38763.83
85122,"19,980","893,721",44730.78
85128,"5,380","215,822",40115.61
85131,"3,980","161,827",40660.05
85132,"7,640","376,185",49238.87
85137,780,"34,882",44720.51
85138,"15,070","833,646",55318.25
85139,"7,100","341,695",48126.06
85140,"14,330","823,243",57448.92
85142,"25,800","1,986,140",76982.17
85143,"14,280","715,835",50128.50
85145,900,"47,299",52554.44
85172,740,"28,089",37958.11
85173,960,"39,723",41378.13
85192,480,"19,684",41008.33
85193,"1,210","43,454",35912.40
85194,"2,400","155,427",64761.25
85201,"20,310","741,899",36528.75
85202,"18,250","810,117",44389.97
85203,"15,170","783,237",51630.65
85204,"25,150","1,003,571",39903.42
85205,"17,720","1,110,342",62660.38
85206,"15,250","775,216",50833.84
85207,"20,120","1,655,501",82281.36
85208,"14,530","633,359",43589.75
85209,"17,170","1,018,546",59321.26
85210,"16,400","639,122",38970.85
85212,"14,850","1,069,706",72034.07
85213,"14,290","1,162,828",81373.55
85215,"7,680","591,774",77053.91
