"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-08-31,61639,"10025","NY","New York-Newark-Jersey City","New York","New York",0,1115100,0.000448591422931993,-0.0065924276169265,0.0131746320188988,0.0498582551451268,0.031116286985938,"2016-07","2016-Q3",1141200,-0.0228706624605678,"2016-02"
2018-08-31,84654,"60657","IL","Chicago-Naperville-Elgin","Cook","Chicago",1,346700,-0.000864553314121037,-0.00715922107674685,0.00638606676342525,0.0323058776984071,0.00818205008318862,"2018-03","2018-Q1",352300,-0.0158955435708203,"2017-11"
2018-08-31,61637,"10023","NY","New York-Newark-Jersey City","New York","New York",2,1489400,-0.00241125251172137,-0.0158583322320603,-0.0742168075584286,0.0228970867147005,0.0176855501896924,"2016-12","2016-Q4",1623900,-0.0828252971242072,"2015-07"
2018-08-31,91982,"77494","TX","Houston-The Woodlands-Sugar Land","Harris","Katy",3,336100,0.000595415302173266,0.00538438528268023,0.0486739469578783,0.0471079338595148,0.030947906451976,"2018-08","2018-Q3",336100,0,"2018-08"
2018-08-31,84616,"60614","IL","Chicago-Naperville-Elgin","Cook","Chicago",4,424000,-0.00282220131702728,-0.00749063670411985,0.00904331270823417,0.0369024037300938,0.0137576648775786,"2018-03","2018-Q1",429500,-0.0128055878928987,"2017-11"
2018-08-31,93144,"79936","TX","El Paso","El Paso","El Paso",5,122900,0,0.00655200655200655,0.0284518828451883,0.0171185809938024,-0.00137281580321913,"2007-10","2007-Q4",132400,-0.0717522658610272,"2007-03"
2018-08-31,91940,"77449","TX","Houston-The Woodlands-Sugar Land","Harris","Katy",6,176100,-0.000567536889897843,-0.0033955857385399,0.0526001195457262,0.0719827456458042,0.0304214351251226,"2018-05","2018-Q2",176700,-0.0033955857385399,"2018-04"
2018-08-31,91733,"77084","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",7,165000,-0.00181488203266788,-0.00121065375302663,0.0410094637223975,0.0668317284508613,0.0280699460703622,"2018-06","2018-Q2",165500,-0.00302114803625378,"2018-05"
2018-08-31,61616,"10002","NY","New York-Newark-Jersey City","New York","New York",8,1013300,0.00217584808624271,0.00966520526106018,0.0138069034517259,0.0707923012945684,0.0307392688078596,"2018-08","2018-Q3",1013300,0,"2018-08"
2018-08-31,61807,"10467","NY","New York-Newark-Jersey City","Bronx","New York",9,411100,0.000486736432221952,0.0203524447753785,0.112584573748309,0.0643449026444756,0.0158364174339241,"2018-08","2018-Q3",411100,0,"2018-08"
2018-08-31,84640,"60640","IL","Chicago-Naperville-Elgin","Cook","Chicago",10,240000,-0.00249376558603491,-0.0099009900990099,0.000834028356964137,0.0456831626991361,-0.00335670398732535,"2007-01","2007-Q1",270000,-0.111111111111111,"2005-01"
2018-08-31,97564,"94109","CA","San Francisco-Oakland-Hayward","San Francisco","San Francisco",11,1246400,0.00160720025715204,0.00719191919191919,0.0290620871862616,0.0650232363721603,0.0483040264334711,"2018-01","2018-Q1",1257200,-0.00859051861279033,"2017-11"
2018-08-31,62037,"11226","NY","New York-Newark-Jersey City","Kings","New York",12,816400,-0.00183396503240005,0.017067397533325,0.203065134099617,0.133519597845942,0.0498306047038155,"2018-07","2018-Q3",817900,-0.00183396503240005,"2018-07"
2018-08-31,61630,"10016","NY","New York-Newark-Jersey City","New York","New York",13,1045600,-0.00047796577765032,0.00287742183004028,0.00741882647653917,0.0421202340783458,0.0205314261782419,"2017-02","2017-Q1",1091600,-0.0421399780139245,"2016-03"
2018-08-31,74101,"37013","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson","Nashville",14,206700,-0.000483558994197292,0.00291120815138282,0.114285714285714,0.103189171270391,0.0381117053855224,"2018-07","2018-Q3",206800,-0.000483558994197292,"2018-07"
2018-08-31,71831,"32162","FL","The Villages","Sumter","The Villages",15,256500,0.000390015600624025,0.00746268656716418,0.0326086956521739,0.0377198420104456,0.0149432048893485,"2018-08","2018-Q3",256500,0,"2018-08"
2018-08-31,62087,"11375","NY","New York-Newark-Jersey City","Queens","New York",16,972500,-0.00379020692481049,-0.00389224623578818,0.0325971543852198,0.0798976380408969,0.0447457194391816,"2018-04","2018-Q2",976600,-0.00419823878763056,"2018-03"
2018-08-31,62045,"11235","NY","New York-Newark-Jersey City","Kings","New York",17,725500,-0.00343406593406593,-0.00452799121844127,0.0592787268214338,0.0678810284061035,0.0347967394604549,"2018-06","2018-Q2",729600,-0.00561951754385965,"2018-03"
2018-08-31,92593,"78660","TX","Austin-Round Rock","Travis","Pflugerville",18,244100,-0.00040950040950041,0.00123051681706317,0.0373990650233744,0.0714071917722212,0.0342535951915397,"2018-07","2018-Q3",244200,-0.00040950040950041,"2018-07"
2018-08-31,96107,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",19,618500,-0.00048480930833872,0.0042214645234616,0.0628974050524145,0.0867102130266781,0.0380171935035056,"2018-07","2018-Q3",618800,-0.00048480930833872,"2018-07"
2018-08-31,84646,"60647","IL","Chicago-Naperville-Elgin","Cook","Chicago",20,384300,-0.00285417747794499,-0.00979129090440608,0.0188229056203606,0.0654576427129547,0.0215782420455883,"2018-05","2018-Q2",388100,-0.00979129090440608,"2018-02"
2018-08-31,74242,"37211","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson","Nashville",21,251000,-0.00159108989657916,-0.000398247710075667,0.0786420283626987,0.120668269207463,0.0547440823881438,"2018-06","2018-Q2",251700,-0.00278108859753675,"2018-05"
2018-08-31,61643,"10029","NY","New York-Newark-Jersey City","New York","New York",22,792300,-0.00214105793450882,-0.00937734433608402,0.0187733059020188,0.0599830460320654,0.0313631111496508,"2018-05","2018-Q2",799800,-0.00937734433608402,"2018-03"
2018-08-31,61623,"10009","NY","New York-Newark-Jersey City","New York","New York",23,1171700,-0.000511814381984134,0.00153859304214035,-0.0105556493835501,0.0575384119514908,0.0264479269449023,"2017-06","2017-Q2",1220000,-0.0395901639344262,"2016-12"
2018-08-31,84620,"60618","IL","Chicago-Naperville-Elgin","Cook","Chicago",24,388700,-0.00256607646907878,-0.0114445574771109,0.0202099737532808,0.0529376259627985,0.0153559971475172,"2018-04","2018-Q2",394600,-0.0149518499746579,"2018-02"
2018-08-31,61625,"10011","NY","New York-Newark-Jersey City","New York","New York",25,1711400,0.000116877045348294,-0.0174532093236881,-0.029708583739653,0.0338599304511913,0.0290518069609906,"2016-03","2016-Q1",1824900,-0.0621951887774673,"2014-09"
2018-08-31,92036,"77573","TX","Houston-The Woodlands-Sugar Land","Galveston","League City",26,262500,-0.000380807311500381,0.00152613506295307,0.0554885404101327,0.0698387054236915,0.0331774846356467,"2018-06","2018-Q2",262900,-0.00152149106124002,"2018-06"
2018-08-31,61703,"10128","NY","New York-Newark-Jersey City","New York","New York",27,1254300,0.000239234449760766,0.000718046912398277,0.0257605495583906,0.0675282249441167,0.0304887287775972,"2018-06","2018-Q2",1256500,-0.00175089534421011,"2018-06"
2018-08-31,92045,"77584","TX","Houston-The Woodlands-Sugar Land","Brazoria","Pearland",28,260600,-0.00114986584898429,0.00617760617760618,0.0436523828594313,0.0652318963453105,0.0292650282022757,"2018-07","2018-Q3",260900,-0.00114986584898429,"2018-06"
2018-08-31,69816,"28269","NC","Charlotte-Concord-Gastonia","Mecklenburg","Charlotte",29,197200,0,0.00152361604875571,0.0676773145641581,0.0684007482292037,0.0218042315390372,"2018-06","2018-Q2",197300,-0.000506842372022301,"2018-06"
2018-08-31,66126,"20002","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",30,648200,0.000617474529175672,0.0106018085438104,0.0634946677604594,0.0906145039821338,0.0605732097996086,"2018-08","2018-Q3",648200,0,"2018-08"
2018-08-31,92271,"78130","TX","San Antonio-New Braunfels","Comal","New Braunfels",31,225700,-0.000885347498893316,0.00669045495093666,0.0809386973180077,0.0675185532368938,0.0364359200030118,"2018-07","2018-Q3",225900,-0.000885347498893316,"2018-06"
2018-08-31,71067,"30349","GA","Atlanta-Sandy Springs-Roswell","Clayton","Riverdale",32,128200,0.00234558248631744,0.0102442868400315,0.0791245791245791,0.158160812029399,-0.00483351910644658,"2007-09","2007-Q3",150400,-0.147606382978723,"2001-10"
2018-08-31,92515,"78572","TX","McAllen-Edinburg-Mission","Hidalgo","Mission",33,106200,0,0.00568181818181818,0.0716448032290616,0.0577670385530253,0.0186298094101205,"2018-08","2018-Q3",106200,0,"2018-08"
2018-08-31,97771,"94565","CA","San Francisco-Oakland-Hayward","Contra Costa","Pittsburg",34,426700,-0.00257129499766246,0.00779404818138876,0.0857506361323155,0.141300417870173,0.0483192385053832,"2006-01","2006-Q1",465400,-0.0831542758917061,"2005-05"
2018-08-31,93123,"79912","TX","El Paso","El Paso","El Paso",35,187700,0,0.00213561131873999,0.0370165745856354,0.0197669751803269,0.00605742889677008,"2018-08","2018-Q3",187700,0,"2018-08"
2018-08-31,96027,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",36,1446700,-0.000207325501036628,0.0035377358490566,0.0592326841411627,0.088531591087285,0.048138316411269,"2018-06","2018-Q2",1447600,-0.00062171870682509,"2018-06"
2018-08-31,92551,"78613","TX","Austin-Round Rock","Williamson","Cedar Park",37,292800,-0.00068259385665529,-0.00374276964954066,0.0187891440501044,0.0711955125000736,0.036848693247324,"2018-03","2018-Q1",295000,-0.00745762711864407,"2017-12"
2018-08-31,90654,"75052","TX","Dallas-Fort Worth-Arlington","Dallas","Grand Prairie",38,204800,-0.00146270112140419,0.00146699266503667,0.0893617021276596,0.0900097417133998,0.0426338012680096,"2018-06","2018-Q2",205200,-0.00194931773879142,"2018-06"
2018-08-31,66133,"20009","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",39,551000,0,-0.000362844702467344,-0.0136054421768707,0.029263670573886,0.0246530555670015,"2017-07","2017-Q3",558900,-0.0141349078547146,"2017-01"
2018-08-31,74126,"37042","TN","Clarksville","Montgomery","Clarksville",40,132200,-0.000755857898715042,0.00532319391634981,0.0592948717948718,0.0252555285063476,0.014833000119534,"2018-07","2018-Q3",132300,-0.000755857898715042,"2018-06"
2018-08-31,61802,"10462","NY","New York-Newark-Jersey City","Bronx","New York",41,144300,0.00277970813064628,0.0190677966101695,0.118604651162791,0.10095970723428,0.0251244760027713,"2018-08","2018-Q3",144300,0,"2018-08"
2018-08-31,91926,"77433","TX","Houston-The Woodlands-Sugar Land","Harris","Cypress",42,253800,-0.00118063754427391,-0.00235849056603774,0.0321268808458723,0.0482974998101184,0.0278301282061564,"2018-06","2018-Q2",254500,-0.00275049115913556,"2018-05"
2018-08-31,89925,"73099","OK","Oklahoma City","Canadian","Yukon",43,162600,0,0.00123152709359606,0.0168855534709193,0.0258790985250221,0.0348835251564741,"2018-08","2018-Q3",162600,0,"2018-08"
2018-08-31,61617,"10003","NY","New York-Newark-Jersey City","New York","New York",44,1714100,-0.000990791467537009,-0.00116543324981062,0.052499078963527,0.0601904234478225,0.0384812662297032,"2018-06","2018-Q2",1720200,-0.00354609929078014,"2018-05"
2018-08-31,91922,"77429","TX","Houston-The Woodlands-Sugar Land","Harris","Cypress",45,244300,-0.000409165302782324,-0.00122649223221586,0.0303669337832138,0.0600640820366629,0.0313020983816958,"2018-06","2018-Q2",244800,-0.00204248366013072,"2018-05"
2018-08-31,91968,"77479","TX","Houston-The Woodlands-Sugar Land","Fort Bend","Sugar Land",46,369900,-0.000540394487976223,-0.00161943319838057,0.0170470167720649,0.0552411160430866,0.0308799182555657,"2018-06","2018-Q2",370500,-0.00161943319838057,"2018-04"
2018-08-31,62017,"11206","NY","New York-Newark-Jersey City","Kings","New York",47,696600,-0.00171969045571797,0.0158961645034272,0.115452361889512,0.0812654989504797,0.0527827903823874,"2018-07","2018-Q3",697800,-0.00171969045571797,"2018-07"
2018-08-31,86026,"63376","MO","St. Louis","Saint Charles","Saint Peters",48,194900,-0.00153688524590164,0.00360453141091658,0.0389125799573561,0.0529248448889514,0.012931558732578,"2018-07","2018-Q3",195200,-0.00153688524590164,"2018-06"
2018-08-31,84615,"60613","IL","Chicago-Naperville-Elgin","Cook","Chicago",49,238900,-0.00292153589315526,-0.0132176786451879,0.01919795221843,0.029392029108789,0.00050390632115116,"2006-04","2006-Q2",262700,-0.0905976398934145,"2004-05"
2018-08-31,70829,"30044","GA","Atlanta-Sandy Springs-Roswell","Gwinnett","Lawrenceville",50,187400,0,0.00969827586206897,0.0997652582159624,0.126604848673812,0.0201004514310152,"2018-08","2018-Q3",187400,0,"2018-08"
2018-08-31,62040,"11230","NY","New York-Newark-Jersey City","Kings","New York",51,1057100,-0.00235938089845225,0.00724154359218676,0.083094262295082,0.0937448061039263,0.0439687906186454,"2018-07","2018-Q3",1059600,-0.00235938089845225,"2018-06"
2018-08-31,61803,"10463","NY","New York-Newark-Jersey City","Bronx","New York",52,678800,-0.000588928150765607,0.00577863387168469,0.103381014304291,0.0674920200083646,0.0176140074509032,"2018-06","2018-Q2",679300,-0.000736051818047991,"2018-06"
2018-08-31,70828,"30043","GA","Atlanta-Sandy Springs-Roswell","Gwinnett","Lawrenceville",53,230600,0.000433839479392625,0.0056694286960314,0.0740568234746157,0.0827851817399963,0.022023084963221,"2018-08","2018-Q3",230600,0,"2018-08"
2018-08-31,84630,"60629","IL","Chicago-Naperville-Elgin","Cook","Chicago",54,164500,-0.00182038834951456,-0.00423728813559322,0.0431198478123018,0.067309116129475,-0.0205312304263023,"2007-02","2007-Q1",238500,-0.310272536687631,"2003-11"
2018-08-31,62023,"11212","NY","New York-Newark-Jersey City","Kings","New York",55,433000,-0.00322283609576427,0.00301135047486681,0.119441571871768,0.0913830427729108,0.0209049292347945,"2018-07","2018-Q3",434400,-0.00322283609576427,"2018-06"
2018-08-31,62020,"11209","NY","New York-Newark-Jersey City","Kings","New York",56,972300,-0.00246229609110496,0.00010285949393129,0.00133882595262616,0.0617376880913314,0.0386273322474888,"2018-01","2018-Q1",982900,-0.0107844134703429,"2017-09"
2018-08-31,84627,"60625","IL","Chicago-Naperville-Elgin","Cook","Chicago",57,293900,-0.00203735144312394,-0.0144198524480215,0.0190707350901526,0.056266401460733,0.000580870528012145,"2007-04","2007-Q2",328700,-0.105871615454822,"2005-02"
2018-08-31,60545,"07030","NJ","New York-Newark-Jersey City","Hudson","Hoboken",58,752600,-0.00198912611059541,-0.011297950604309,-0.0337655668250096,0.0658549132397501,0.0357478129529452,"2017-11","2017-Q4",783900,-0.039928562316622,"2017-05"
2018-08-31,69823,"28277","NC","Charlotte-Concord-Gastonia","Mecklenburg","Charlotte",59,346700,0,0.00144425187752744,0.0361625821876868,0.0598964811392058,0.0238556148717839,"2018-06","2018-Q2",346800,-0.000288350634371396,"2018-06"
2018-08-31,90823,"75287","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",60,326200,-0.0018359853121175,0.00338357428483544,0.071264367816092,0.077685949779396,0.0444786626693114,"2018-06","2018-Q2",327100,-0.00275145215530419,"2018-06"
